"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_day",4.511e+11,4.511e+11,4.511e+11,1
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",6.5,6.5,6.5,1
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_day",5.9058e+11,5.9058e+11,5.9058e+11,1
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.2,10.2,10.2,1
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_day",1.00142e+12,1.00142e+12,1.00142e+12,1
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_mL_WW",16.1,16.1,16.1,1
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_day",6.6435e+11,6.6435e+11,6.6435e+11,1
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.15,5.15,5.15,1
2022-02-11,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-11,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-13,"ARA Basel","2021/22","IAV_gc_per_day",2.8258e+11,2.8258e+11,2.8258e+11,1
2022-02-13,"ARA Basel","2021/22","IAV_gc_per_mL_WW",4.975,4.975,4.975,1
2022-02-13,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-13,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-16,"ARA Basel","2021/22","IAV_gc_per_day",1.198365e+12,1.198365e+12,1.198365e+12,1
2022-02-16,"ARA Basel","2021/22","IAV_gc_per_mL_WW",16.95,16.95,16.95,1
2022-02-16,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-16,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-18,"ARA Basel","2021/22","IAV_gc_per_day",5.5176e+12,5.5176e+12,5.5176e+12,1
2022-02-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",76,76,76,1
2022-02-18,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-20,"ARA Basel","2021/22","IAV_gc_per_day",3.4568e+11,3.4568e+11,3.4568e+11,1
2022-02-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.8,5.8,5.8,1
2022-02-20,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-22,"ARA Basel","2021/22","IAV_gc_per_day",7.4178e+11,7.4178e+11,7.4178e+11,1
2022-02-22,"ARA Basel","2021/22","IAV_gc_per_mL_WW",11.7,11.7,11.7,1
2022-02-22,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-22,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-24,"ARA Basel","2021/22","IAV_gc_per_day",1.36917e+12,1.36917e+12,1.36917e+12,1
2022-02-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",23.05,23.05,23.05,1
2022-02-24,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
