"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
"481",2021-12-12,0,0,0,0.000632591123700587,0,0.550686784993889,0.0788676857207275,0,0.385697979319455,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"482",2021-12-13,0,0,0,0.00117605807461191,0,0.421400684983445,0.117963616124874,0,0.457749720237597,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"483",2021-12-14,0.00133589183674032,0,0.403717484016512,0.00197990163108181,0,0.327394874230377,0.165806324117326,0,0.534734962274984,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"484",2021-12-15,0.00254455587950536,0,0.453634173120625,0.00281192737040854,0,0.271776063827307,0.224357176997293,0,0.616449659674453,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"485",2021-12-16,0.00248094198251773,0,0.72173522173285,0.00388537751530192,0,0.237626314635163,0.295501128085141,0,0.7072622334648,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"486",2021-12-17,0,0,0.719254279750332,0.00515500047407283,0,0.225765933540904,0.35134269288889,0,0.781017166554926,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"487",2021-12-18,0,0,0.711895655990333,0.0065755446550321,0,0.231530865553017,0.376868306767526,0,0.813798780151394,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"488",2021-12-19,0,0,0,0.0118677808343177,0,0.251018924817204,0.398733295321365,0,0.835837602947893,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"489",2021-12-20,0,0,0,0.0227635208308829,0,0.278472938655719,0.419300701169527,0,0.857878046818678,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
"490",2021-12-21,0.0183685127551794,0,0.393481546687281,0.0362340746172613,0,0.311141103915443,0.412534522776412,0,0.84699626127007,NA,NA,NA,NA,NA,NA,NA,"ARA Werdhölzli","IBV","2021/22"
