"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period","max_incidence","scaling_type"
"449",2021-12-11,38371.1775629063,19944.0390065062,56798.3161193065,25400.584305405,17125.6674396418,33675.5011711682,23972.2396349145,15836.1552635236,32108.3240063055,0.999718396212624,0.888511660580066,1.11092513184518,1.00691284318195,0.992549390265952,0.888511660580066,1.11092513184518,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"450",2021-12-12,31631.6325513754,12720.7042443898,50542.560858361,25015.8192984191,16835.3394657867,33196.2991310515,22983.0873899177,15111.111864097,30855.0629157385,0.960778033728119,0.852831325731464,1.06872474172477,0.967813762841943,0.953767620064305,0.852831325731464,1.06872474172477,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"451",2021-12-13,24715.0639601102,4029.58709638352,45400.540823837,24245.6740516051,16145.7618224347,32345.5862807756,21161.4144838328,13733.5382694192,28589.2906982464,0.919565381357777,0.812527631616752,1.0266031310988,0.926483794249617,0.912672541257724,0.812527631616752,1.0266031310988,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"452",2021-12-14,20256.8964415627,0,41622.3990560352,23413.3705623828,15523.5365107644,31303.2046140012,19109.2743495395,11932.8444143324,26285.7042847467,0.876387759309787,0.771058034053956,0.981717484565617,0.883230563289396,0.869571201092062,0.771058034053956,0.981717484565617,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"453",2021-12-15,17968.063079724,0,37226.5669962101,21845.310210196,14339.4263079656,29351.1941124265,17254.8020453221,10501.0029995988,24008.6010910455,0.832206134705874,0.727612832888796,0.936799436522952,0.839020449306037,0.825419224476958,0.727612832888796,0.936799436522952,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"454",2021-12-16,16828.3740664702,0,34116.7638028975,19988.995783481,12736.5497900147,27241.4417769472,15311.5214862866,9114.75547130652,21508.2875012667,0.794984331126165,0.691138864856052,0.898829797396278,0.80185320049759,0.788144603947459,0.691138864856052,0.898829797396278,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"455",2021-12-17,15817.6395936776,2209.59149914999,29425.6876882052,18202.2827538387,11335.866516519,25068.6989911584,13703.6972664671,7918.38205559091,19489.0124773432,0.770149102857668,0.667945842946738,0.872352362768599,0.777182200223453,0.763147535506805,0.667945842946738,0.872352362768599,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"456",2021-12-18,14183.8183775229,2573.88972231569,25793.7470327302,16266.5656029227,9923.53639552943,22609.5948103159,12504.5035436014,7338.40733207924,17670.5997551237,0.757556769982014,0.654804117958944,0.860309422005084,0.764860819165282,0.750287283659411,0.654804117958944,0.860309422005084,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"457",2021-12-19,12247.4632313858,1176.78275159943,23318.1437111722,14572.8640977901,8627.88164546848,20517.8465501117,11460.966608479,6824.8047570915,16097.1284598664,0.759255151015424,0.653410185999463,0.865100116031385,0.766941526279223,0.751606957036835,0.653410185999463,0.865100116031385,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
"458",2021-12-20,10597.2754929464,0,21576.9849681965,13227.5465707381,7858.24699075349,18596.8461507228,10570.1338975057,6308.16899718204,14832.0987978294,0.770321311256911,0.655630989179019,0.885011633334803,0.778466722017616,0.762218153107731,0.655630989179019,0.885011633334803,"ARA Werdhölzli","IAV","2021/22",57854,"Minimum measurement is 1000 cases"
