"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
"56",2021-10-08,0.00330205338311822,0,16.6507200792406,0.00207046527859251,0,10.1752290872337,0.00217545306876168,0,9.5780145846913,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"57",2021-10-09,0.00388861089100927,0,10.7897740171887,0.00212800115398851,0,9.97945819432631,0.00204005987068596,0,9.35177656518697,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"58",2021-10-10,0.00416407952761958,0,8.53171131315796,0.00215983124475017,0,9.58368300039112,0.00187303820824355,0,9.81697062016674,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"59",2021-10-11,0.00402070602488648,0,35.1507866592972,0.002064886449157,0,9.31287526888212,0.00170344036433183,0,10.5720308127309,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"60",2021-10-12,0.0033507371147473,0,50.1929611236112,0.00192813644959677,0,9.55094673011119,0.0013842099564247,0,11.4576728205144,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"61",2021-10-13,0.00204641952913936,0,10.2150772970948,0.00178760452361511,0,10.1153513431515,0.00105812619384145,0,11.8058944498016,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"62",2021-10-14,0,0,20.2756896956377,0.00151806772345352,0,10.8374615930168,0.000810738161029191,0,11.8806350652218,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"63",2021-10-15,0,0,22.4889887039994,0.00122153276769559,0,11.3532767535109,0.000727769458070876,0,12.2857930054015,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"64",2021-10-16,0,0,13.7923739683483,0.000957938268930409,0,11.6348376005431,0.00100708697890011,0,12.256763746416,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"65",2021-10-17,0,0,7.04887979093321,0.000819545733805371,0,11.9814700151618,0.00164495454124824,0,11.9167454972555,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"66",2021-10-18,0,0,44.0984417958247,0.00100473873755867,0,12.0290377645288,0.00256263480991034,0,11.6700726727194,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"67",2021-10-19,0,0,66.6907285783862,0.00148437527632631,0,11.8538696294211,0.00350758718520918,0,11.7371406212165,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"68",2021-10-20,0,0,11.8955275968217,0.00222931334624428,0,11.5959152749083,0.00446437308973075,0,11.6259244306139,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"69",2021-10-21,0,0,19.4143859368151,0.00307621614938769,0,11.5720883105508,0.00562584151610629,0,11.0666359273736,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"70",2021-10-22,0,0,19.5213121910588,0.00398035353244956,0,11.5341538286122,0.00607920497135976,0,10.3919499630231,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"71",2021-10-23,0,0,10.4024102111765,0.00509049345849283,0,11.123573570264,0.00631320824247046,0,9.9319866666734,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"72",2021-10-24,0,0,8.06948425662386,0.00571223942014425,0,10.5151724587815,0.0074914007088263,0,10.2595848920473,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"73",2021-10-25,0.010058507819887,0,41.3772618851,0.00609330731026705,0,10.0135298119053,0.00892702298591386,0,11.1251684454435,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"74",2021-10-26,0.0191882603734742,0,50.4648878455362,0.00712068335458579,0,10.0705596706281,0.00994620858433731,0,12.1949926963224,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"75",2021-10-27,0.0232887590171178,0,11.4439083792615,0.00838628636319399,0,10.6615156807203,0.0113476197041894,0,12.5207989744539,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"76",2021-10-28,0.0182595051071743,0,17.4152886621788,0.00950945177606261,0,11.4781861442511,0.0132931035149497,0,12.5895719080451,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"77",2021-10-29,0,0,15.7113354667747,0.0112027480643697,0,12.0133374931943,0.0268465433038051,0,12.8037164903485,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"78",2021-10-30,0,0,10.8026481177064,0.0132933171810121,0,12.3216700610604,0.0591534606384717,0,12.3068052863092,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"79",2021-10-31,0,0,8.61755032016494,0.0246279412455154,0,12.5314188807026,0.0953993816663496,0,12.0868703763325,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"80",2021-11-01,0,0,47.1728468386415,0.0496138903324496,0,12.2425176957917,0.124337544773845,0,12.6964118931863,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"81",2021-11-02,0,0,72.2287819370965,0.0798830920369302,0,12.0114873010776,0.158712206655016,0,13.0107109576556,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"82",2021-11-03,0.0838642439073817,0,8.0245761779785,0.108262280458588,0,12.3857134200152,0.185378563342866,0,12.8709686188797,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"83",2021-11-04,0,0,17.668063985456,0.141455132376399,0,12.6723065517045,0.189106265902382,0,12.5280647726749,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"84",2021-11-05,0,0,20.5143324017332,0.169814719038978,0,12.6022914615946,0.186276287093101,0,12.1089591578277,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"85",2021-11-06,0,0,12.3507379115049,0.181396695537024,0,12.4090573124516,0.190984754594147,0,12.1186442509336,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"86",2021-11-07,0,0,10.4797745987698,0.185202279247801,0,12.1187994704162,0.22560198646779,0,12.8031852120566,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"87",2021-11-08,1.1602787456446,0,43.1470711249282,0.190232687548572,0,12.0252988127079,0.282022098093711,0,13.7933112520815,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"88",2021-11-09,0.882612753785919,0,69.3260598503985,0.217271401850459,0,12.4381107088048,0.325035927676965,0,14.8567267053751,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"89",2021-11-10,0,0,13.7068115295257,0.263776765375362,0,13.2262259032041,0.390260050648625,0,15.3049190899849,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"90",2021-11-11,0,0,22.7686206720949,0.303762288216708,0,14.1138340417775,0.475884901959684,0,15.434079008536,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"91",2021-11-12,0,0,24.6043767851074,0.362941818285521,0,14.7297237758707,0.527507400491828,0,15.6832154609596,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"92",2021-11-13,0,0,14.949668710374,0.440363509683935,0,15.0914638820347,0.580766298837881,0,15.5430140378648,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"93",2021-11-14,0,0,12.7383911010927,0.495692017680606,0,15.3761129918956,0.670501376503245,0,15.8602688692539,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"94",2021-11-15,0,0,59.7123787296344,0.550960026862438,0,15.3058153506143,0.715653594274911,0,16.9552928168883,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"95",2021-11-16,0.661001766011368,0,83.7915236150384,0.633734550586897,0,15.4966200355778,0.736333654363437,0,17.877778554442,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"96",2021-11-17,1.25783972125436,0,18.4379839824599,0.684088442800968,0,16.3784108033995,0.776553410213238,0,18.1479090292848,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"97",2021-11-18,1.28626752089251,0,29.7397912473616,0.713941750998774,0,17.2123210465931,0.761870108725948,0,17.6675088819445,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"98",2021-11-19,1.13240418118467,0,30.5213838022693,0.757010022242373,0,17.6175018345114,0.70107566710318,0,17.038809504735,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"99",2021-11-20,1.24131093673723,0,18.4561138923488,0.757037160642365,0,17.5129725033402,0.668322893545033,0,16.4937224962722,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"100",2021-11-21,1.40345253445165,0,16.0519633947087,0.714403505449745,0,17.12037740931,0.617824521369155,0,16.1306482945454,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"101",2021-11-22,1.24564459930314,0,61.3798400599481,0.688647383810025,0,16.5753748104981,0.567783576055365,0,16.4044496899483,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"102",2021-11-23,0.585022427477123,0,87.312486536216,0.644619681609666,0,16.0564687929024,0.627833522453773,0,16.9706977623485,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"103",2021-11-24,0,0,15.2073832300065,0.593607858592852,0,16.1271927652709,0.767869239209281,0,17.4401998374513,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"104",2021-11-25,0,0,24.401701856612,0.636013249497839,0,16.6073200946665,0.976451881338562,0,17.9170522928461,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"105",2021-11-26,0,0,23.1761536204777,0.763855844178147,0,17.1040625438439,2.05301747825892,0,19.4001982759094,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"106",2021-11-27,0,0,13.5951199937275,0.969155632487297,0,17.5077042426778,4.51310978021711,0,24.9068434234295,2.95894984108019,0.94941717193691,5.40728679842937,5.40728679842937,1.24248233321243,0.94941717193691,4.96848251022347,"ARA Basel","IAV","2021/22"
"107",2021-11-28,0,0,12.6833491967251,1.91388496122187,0,18.7750191849109,7.76839365464686,0,34.9640826926368,3.56229969512086,1.9063767059948,5.62628409370305,5.62628409370305,1.96535581964519,1.9063767059948,5.21822268424693,"ARA Basel","IAV","2021/22"
"108",2021-11-29,0,0,54.3164297373439,4.06804409470456,0,23.0276789686666,21.0324223507674,0,56.4447354803907,4.57516265856966,3.01749334574508,6.25341832722636,6.25341832722636,3.15618302485928,3.01749334574508,6.13283197139423,"ARA Basel","IAV","2021/22"
"109",2021-11-30,1.85032054162935,0,87.7015960715385,7.13569489907808,0,31.180279916599,41.7961114267082,0,88.4103055897674,4.68913448157602,2.88411197076356,6.49415699238848,5.84410656370274,3.65978462026937,2.88411197076356,6.49415699238848,"ARA Basel","IAV","2021/22"
"110",2021-12-01,0,0,22.1904152160218,17.9516148132293,0,49.2616974798174,59.6301636269681,4.8978710344556,114.362456219481,3.78282179707666,2.23025191181789,5.33539168233542,4.48145603214008,3.14265025196179,2.23025191181789,5.33539168233542,"ARA Basel","IAV","2021/22"
"111",2021-12-02,0,0,44.1357467032351,34.4187143494001,0,75.7032850298584,82.0532346835342,21.7872625493992,142.319206817669,2.93401949462255,1.65898291726433,4.20905607198077,3.37344589080781,2.52486643914484,1.65898291726433,4.20905607198077,"ARA Basel","IAV","2021/22"
"112",2021-12-03,0,0,51.2596524299503,51.3389947710259,1.57306150774441,101.104928034307,112.627155043938,42.6832813716754,182.571028716201,2.41770350252467,1.3640657702579,3.47134123479143,2.72372359498248,2.12968444623818,1.3640657702579,3.47134123479143,"ARA Basel","IAV","2021/22"
"113",2021-12-04,24.6659666258063,0,58.4881229845012,73.3624018199787,17.2702265598538,129.454577080104,173.38835691979,94.3580622717284,252.418651567851,2.31550784471198,1.35646893171319,3.27454675771076,2.5579491098793,2.084979968188,1.35646893171319,3.27454675771076,"ARA Basel","IAV","2021/22"
"114",2021-12-05,0,0,40.7470321309379,101.567113690089,36.4685009752226,166.665726404956,255.438417921596,162.918860938576,347.957974904615,2.344617658219,1.40194576722655,3.28728954921145,2.54616630519302,2.15127008729199,1.40194576722655,3.28728954921145,"ARA Basel","IAV","2021/22"
"115",2021-12-06,0,0,202.83990468455,152.775686325427,78.6398206238892,226.911552026965,317.730012234111,211.032163096753,424.42786137147,2.21823700869454,1.44809199761099,2.98838201977809,2.3801478396463,2.06195386677524,1.44809199761099,2.98838201977809,"ARA Basel","IAV","2021/22"
"116",2021-12-07,0,0,429.759890366213,222.308571816743,136.806767108287,307.8103765252,368.685165756931,251.364708407762,486.0056231061,1.95532001578863,1.27255671408977,2.63808331748749,2.08214645930122,1.83242574823594,1.27255671408977,2.63808331748749,"ARA Basel","IAV","2021/22"
"117",2021-12-08,416.543769710948,276.888392254683,556.199147167212,283.274825901833,184.552417184324,381.997234619341,427.298530643465,297.536267319451,557.060793967479,1.70477340513182,1.00793383188935,2.40161297837429,1.80633503644702,1.60611111657096,1.00793383188935,2.40161297837429,"ARA Basel","IAV","2021/22"
"118",2021-12-09,584.564459930314,317.862268465766,851.266651394861,337.61812850828,227.397493219303,447.838763797257,446.493512690779,312.701474787444,580.285550594114,1.4947943731658,0.852613088143862,2.13697565818774,1.57904269460544,1.41282484018129,0.852613088143862,2.13697565818774,"ARA Basel","IAV","2021/22"
"119",2021-12-10,45.8662706478098,0,303.28818586515,397.41543833462,274.851191146345,519.979685522895,442.176175465906,310.606726772429,573.745624159383,1.3204716093242,0.766728238212554,1.87421498043584,1.39275959060826,1.25008425479958,0.766728238212554,1.87421498043584,"ARA Basel","IAV","2021/22"
