"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2021-12-13,0.147686260314706,0.147686260314706,0.147686260314706,0.172574559638769,0.172574559638769,0.172574559638769,0.217898677586715,0.217898677586715,0.217898677586715,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-14,0.162745790422286,0.162745790422286,0.162745790422286,0.185325120600792,0.185325120600792,0.185325120600792,0.229171367986506,0.229171367986506,0.229171367986506,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-15,0.182763163339573,0.182763163339573,0.182763163339573,0.198121318449876,0.198121318449876,0.198121318449876,0.24096519857202,0.24096519857202,0.24096519857202,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-16,0.206093135163501,0.206093135163501,0.206093135163501,0.209692732127479,0.209692732127479,0.209692732127479,0.251637725861643,0.251637725861643,0.251637725861643,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-17,0.230583814920849,0.230583814920849,0.230583814920849,0.220961786293201,0.220961786293201,0.220961786293201,0.259341133543598,0.259341133543598,0.259341133543598,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-18,0.254083311638394,0.254083311638394,0.254083311638394,0.232850905606639,0.232850905606639,0.232850905606639,0.26502782814599,0.26502782814599,0.26502782814599,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-19,0.274439734342916,0.274439734342916,0.274439734342916,0.243781144815168,0.243781144815168,0.243781144815168,0.271231478190491,0.271188567591082,0.2712743887899,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-20,0.289501192061192,0.289501192061192,0.289501192061192,0.252122421720697,0.252122421720697,0.252122421720697,0.27797380491135,0.277763256166842,0.278184353655859,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-21,0.29711579382,0.29711579382,0.29711579382,0.258720455564631,0.258720455564631,0.258720455564631,0.282521489245737,0.282007288195089,0.283035690296386,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-22,0.29599712230729,0.29599712230729,0.29599712230729,0.26572915804089,0.265629506967176,0.265828809114603,0.288239658767797,0.283298314438156,0.293181003097438,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-23,0.2883206548557,0.2883206548557,0.2883206548557,0.273014707281959,0.272647349508348,0.273382065055569,0.298249199098494,0.280064964530628,0.316433433666359,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-24,0.277127342459038,0.277127342459038,0.277127342459038,0.277991222187089,0.277234971869264,0.278747472504915,0.309173762774274,0.272945758479287,0.345401767069262,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-25,0.265458136111114,0.265458136111114,0.265458136111114,0.283929578293281,0.277918082255607,0.289941074330954,0.321283492829966,0.264840848314536,0.377726137345397,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-12-26,0.256353986805736,0.256353986805736,0.256353986805736,0.293628676106526,0.275419147553136,0.311838204659916,0.337599165171517,0.256694296301033,0.418504034042001,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
