"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2021-11-12,0.0814729468594704,0.0814729468594704,0.0814729468594704,0.252118762286287,0.0706563086351168,0.433581215937458,0.528235762050668,0.274995260418509,0.781476263682827,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-13,0.194233485170076,0,0.517897911057725,0.31639039168347,0.114787822033002,0.517992961333938,0.620700358558912,0.351457184816312,0.889943532301513,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-14,0.327704266607608,0,0.865987790869269,0.390870700498917,0.174574867826966,0.607166533170868,0.691903480944921,0.416399808907693,0.967407152982149,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-15,0.47130794284786,0,1.20827203406495,0.478248172952614,0.244008127350618,0.712488218554611,0.745792715063615,0.473965862758678,1.01761956736855,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-16,0.614467165566624,0,1.56169392203,0.564026974821865,0.31151722133284,0.816536728310891,0.788180864241821,0.526109105290869,1.05025262319277,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-17,0.746604586439693,0,1.62361882539882,0.634230180475007,0.372723681179319,0.895736679770696,0.811569907321561,0.554708732523802,1.06843108211932,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-18,0.857142857142857,0.172332000996811,1.5419537132889,0.692324637018578,0.430870102291324,0.953779171745832,0.80509655765943,0.546420461353978,1.06377265396488,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-19,0.937185820098883,0.381381938299129,1.49298970189864,0.741777191559113,0.487419858438309,0.996134524679917,0.769813009723085,0.502726735125586,1.03689928432058,NA,NA,NA,NA,NA,NA,NA,"All provided data","A","2021/22"
2021-11-20,0.984562080718422,0.684291108545956,1.28483305289089,0.774875197605323,0.525976951223013,1.02377344398763,0.708725128159207,0.424182913799068,0.993267342519346,0.989670445504046,0.149345058472901,2.60792193177236,2.60792193177236,0.149345058472901,0.864124281595418,1.11521660941267,"All provided data","A","2021/22"
2021-11-21,0.998781435159101,0.998781435159101,0.998781435159101,0.781818322846701,0.533397082037531,1.03023956365587,0.637867230412363,0.334933039949119,0.940801420875608,0.912575026299074,0.123894592832846,2.47166990948978,2.47166990948978,0.123894592832846,0.747571412299614,1.07757864029853,"All provided data","A","2021/22"
2021-11-22,0.979353679578544,0.58581246638428,1.37289489277281,0.762941885660955,0.509918519956166,1.01596525136574,0.568374523755517,0.256871772786469,0.879877274724564,0.847477741732897,0.09898643759491,2.38135136969454,2.38135136969454,0.09898643759491,0.657488612200688,1.03746687126511,"All provided data","A","2021/22"
2021-11-23,0.925788610134378,0.412213256835296,1.43936396343346,0.718581204425796,0.452244296984349,0.984918111867243,0.496017780132468,0.182251434144272,0.809784126120664,0.795770051203942,0.0764384177721497,2.33724752614664,2.33724752614664,0.0764384177721497,0.598486566813399,0.993053535594484,"All provided data","A","2021/22"
2021-11-24,0.837596022984226,0.0384870387458205,1.63670500722263,0.661911849793076,0.378547808616441,0.945275890969712,0.417015543582688,0.101318838729842,0.732712248435534,0.749912789775974,0.0555434100306746,2.32359745996227,2.32359745996227,0.0555434100306746,0.553129770906089,0.946695808645859,"All provided data","A","2021/22"
2021-11-25,0.714285714285714,0,1.61163084075932,0.602781418855871,0.309071617745933,0.896491219965809,0.354633724077237,0.0333242217373276,0.675943226417146,0.710354905719695,0.0376331015191368,2.34055858746381,2.34055858746381,0.0376331015191368,0.495885815803197,0.924823995636193,"All provided data","A","2021/22"
2021-11-26,0.558788354169405,0,1.48548266916169,0.536533269653726,0.237522576133212,0.835543963174241,0.330356261572703,0.00565286835269119,0.655059654792715,0.696978023084981,0.0260963257558032,2.42979394867806,2.42979394867806,0.0260963257558032,0.446190217938012,0.94776582823195,"All provided data","A","2021/22"
2021-11-27,0.38771810865761,0,1.19777299058854,0.458510760226188,0.15485925672498,0.762162263727396,0.338274037788589,0.0160325062077514,0.660515569369428,0.73756361520502,0.0225259760294078,2.65029568088916,2.65029568088916,0.0225259760294078,0.494856177652178,0.980271052757861,"All provided data","A","2021/22"
2021-11-28,0.221110017745575,0,0.782577709918113,0.392624624285359,0.0810083591633666,0.704240889407352,0.371558482984002,0.056339820783994,0.68677714518401,0.844325045147362,0.0270100873450199,3.01360588578881,3.01360588578881,0.0270100873450199,0.617459258864045,1.07119083143068,"All provided data","A","2021/22"
2021-11-29,0.0789991214285489,0,0.677897993079256,0.361916751313693,0.0454149401096297,0.678418562517757,0.422899762232731,0.113501157077565,0.732298367387898,0.994926511492452,0.0400299055278852,3.43000011760209,3.43000011760209,0.0400299055278852,0.739402184682383,1.25045083830252,"All provided data","A","2021/22"
2021-11-30,0,0,0.613866828809784,0.360427233006259,0.0458737223404962,0.674980743672022,0.493752109834281,0.192844850104207,0.794659369564355,1.15345965214089,0.0634063619025457,3.77627159931931,3.77627159931931,0.0634063619025457,0.822212995048595,1.48470630923319,"All provided data","A","2021/22"
2021-12-01,0,0,0.593773860096727,0.382196161058126,0.0750776218172332,0.689314700299019,0.591399100263916,0.30871446961657,0.874083730911261,1.29412676972505,0.099292401070668,3.98212838165998,3.98212838165998,0.099292401070668,0.934050449818321,1.65420308963177,"All provided data","A","2021/22"
