"sample_date","wwtp","measuring_period","measurement_type","value"
2022-01-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-01-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-03,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-01-03,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-04,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-01-04,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-04,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-01-04,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-01-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-05,"ARA Basel","2021/22","IAV_gc_per_day",5.6e+09
2022-01-05,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-01-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-06,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-01-06,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-01-08,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-08,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-01-08,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-09,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-01-09,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-09,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-01-09,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",12.5
2022-01-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-10,"ARA Basel","2021/22","IAV_gc_per_day",9.3375e+11
2022-01-10,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-12,"ARA Basel","2021/22","IAV_gc_per_mL_WW",8.6
2022-01-12,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-12,"ARA Basel","2021/22","IAV_gc_per_day",5.5986e+11
2022-01-12,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.2
2022-01-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-14,"ARA Basel","2021/22","IAV_gc_per_day",6.4056e+11
2022-01-14,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-16,"ARA Basel","2021/22","IAV_gc_per_mL_WW",16.5
2022-01-16,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-16,"ARA Basel","2021/22","IAV_gc_per_day",9.768e+11
2022-01-16,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",7.7
2022-01-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-01-18,"ARA Basel","2021/22","IAV_gc_per_day",4.8587e+11
2022-01-18,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-01-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.9
2022-01-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
