"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period","max_incidence","scaling_type"
"749",2021-12-07,470.422977563876,0,2030.97170102958,544.244695450079,0,1220.0768563195,699.844683951727,0,1437.45919425674,1.34929999618722,1.00381914380936,1.69478084856508,1.41026032690426,1.28966842108051,1.00381914380936,1.69478084856508,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"750",2021-12-08,518.785167032345,0,1497.62747432556,613.030594617278,0,1313.66882435031,745.974300942499,0,1504.7455108144,1.29400266861783,0.965639435458371,1.62236590177729,1.35002374242932,1.23915275441123,0.965639435458371,1.62236590177729,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"751",2021-12-09,567.147356500814,0,1753.21696797034,668.961194696964,0,1388.83384502605,789.19425508057,0,1587.92055806343,1.2392033802595,0.918343579188072,1.56006318133093,1.29110088429489,1.18835612177619,0.918343579188072,1.56006318133093,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"752",2021-12-10,706.612640668129,0,2447.06380347367,719.058540025661,0,1459.61255384283,811.543743490124,0,1665.02362451654,1.18786168774594,0.871366543031558,1.50435683246033,1.23639892011614,1.14028327170672,0.871366543031558,1.50435683246033,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"753",2021-12-11,846.077924835445,0,2702.34668481245,765.697388422215,0,1540.70813580876,829.332334315717,0,1773.59192941485,1.14283724638353,0.824390562607453,1.46128393015961,1.18871905050514,1.0978462739355,0.824390562607453,1.46128393015961,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"754",2021-12-12,985.54320900276,0,3457.0062890801,794.238851455449,0,1615.20068437073,847.682621069485,0,1846.2997741556,1.10507680711516,0.798676743339241,1.41147687089108,1.14891318396868,1.06208158356062,0.798676743339241,1.41147687089108,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"755",2021-12-13,1125.00849317008,0,3829.53298394997,816.563298912434,0,1712.33567058173,850.337632503766,0,1880.63127260341,1.07476057441385,0.793170465222658,1.35635068360503,1.11706279123764,1.03326387841012,0.793170465222658,1.35635068360503,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"756",2021-12-14,1264.47377733739,0,4260.77747283842,837.144014507918,0,1792.40984925131,842.154239284691,0,1899.44924466721,1.04668923976563,0.798918326539694,1.29446015299157,1.08778149203732,1.00637750955579,0.798918326539694,1.29446015299157,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"757",2021-12-15,1085.98848113808,0,2717.66230912413,844.067534040142,0,1842.0665800345,827.770225521526,0,1840.48154130684,1.01682063327814,0.807399600218606,1.22624166633768,1.05689914387488,0.977506362154701,0.807399600218606,1.22624166633768,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"758",2021-12-16,907.503184938778,0,2523.69422430878,840.786658983955,0,1874.06928895757,792.54607115548,0,1746.90212276401,0.983404805647827,0.796346140696885,1.17046347059877,1.02262274321922,0.944943337979779,0.796346140696885,1.17046347059877,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
"759",2021-12-17,729.017888739472,0,3249.7379295144,831.219048734181,0,1842.43811124059,743.820488451616,0,1673.88376911991,0.946039944839374,0.760314795625093,1.13176509405365,0.984551986430896,0.90828589839135,0.760314795625093,1.13176509405365,"ARA Basel","IAV","2021/22",2683,"Minimum measurement is 100 cases"
