"sample_date","wwtp","measuring_period","target","measurement_type","value"
2022-04-15,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2281676166995.68
2022-04-15,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-04-11,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",6.124005608
2022-04-11,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-04-11,"STEP Aire","2021/22","respv4","IAV_gc_per_day",868273763113.456
2022-04-11,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-04-08,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",14.52270264
2022-04-08,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-04-08,"STEP Aire","2021/22","respv4","IAV_gc_per_day",3187849411101.12
2022-04-08,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-04-08,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",14.78646713
2022-04-08,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-04-08,"STEP Aire","2021/22","respv4","IAV_gc_per_day",3245747826772.04
2022-04-08,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-04-05,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",20.0811078
2022-04-05,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-04-05,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2569277337471
2022-04-05,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-04-05,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",18.8397421
2022-04-05,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-04-05,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2410450802984.5
2022-04-05,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-04-02,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",22.57988098
2022-04-02,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-04-02,"STEP Aire","2021/22","respv4","IAV_gc_per_day",3304859119875.74
2022-04-02,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-04-02,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",17.43168536
2022-04-02,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-04-02,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2551353764345.68
2022-04-02,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-28,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",17.92355618
2022-03-28,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-28,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2309432290236.82
2022-03-28,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-28,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",18.98411584
2022-03-28,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-28,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2446084341868.16
2022-03-28,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-25,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",27.63631051
2022-03-25,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-25,"STEP Aire","2021/22","respv4","IAV_gc_per_day",3661479506848.88
2022-03-25,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-25,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",22.04220138
2022-03-25,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-25,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2920327176433.44
2022-03-25,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-21,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",6.920499045
2022-03-21,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-21,"STEP Aire","2021/22","respv4","IAV_gc_per_day",973658851639.14
2022-03-21,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-21,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",26.93126382
2022-03-21,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-21,"STEP Aire","2021/22","respv4","IAV_gc_per_day",3789013369363.44
2022-03-21,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-18,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",15.6479341
