"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"ZH","infection_norm_n1",2021-01-10,0.725315580564769,1.17570837813513,0.382658578045233
"ZH","infection_norm_n1",2021-01-11,0.722836981122139,1.18782979360848,0.372238199781867
"ZH","infection_norm_n1",2021-01-12,0.725072830007109,1.20740178033755,0.364585283375052
"ZH","infection_norm_n1",2021-01-13,0.730884264233894,1.23269648896133,0.359020932615371
"ZH","infection_norm_n1",2021-01-14,0.737301861960946,1.25958546710963,0.353607292947459
"ZH","infection_norm_n1",2021-01-15,0.741957761727831,1.28467057857354,0.346884200082727
"ZH","infection_norm_n1",2021-01-16,0.747550030430856,1.31132991337432,0.340800682367416
"ZH","infection_norm_n1",2021-01-17,0.762387016206973,1.35071352519845,0.340841612070601
"ZH","infection_norm_n1",2021-01-18,0.789818314994296,1.40746635163967,0.349051834568735
"ZH","infection_norm_n1",2021-01-19,0.822309590391568,1.47110456278131,0.36057979487661
"ZH","infection_norm_n1",2021-01-20,0.846545186668359,1.52266725351802,0.367188367942871
"ZH","infection_norm_n1",2021-01-21,0.857791570017497,1.55468848473913,0.366350749823295
"ZH","infection_norm_n1",2021-01-22,0.862337556413189,1.57546595821195,0.362291046632804
"ZH","infection_norm_n1",2021-01-23,0.87003880172352,1.5991629602648,0.360970924568111
"ZH","infection_norm_n1",2021-01-24,0.879308895028271,1.62449250320006,0.360929406638004
"ZH","infection_norm_n1",2021-01-25,0.883777867487813,1.6429379387396,0.358030522419457
"ZH","infection_norm_n1",2021-01-26,0.881568701197168,1.65169503245017,0.351229176472245
"ZH","infection_norm_n1",2021-01-27,0.878998631603099,1.65951918059827,0.344476815790482
"ZH","infection_norm_n1",2021-01-28,0.881378377453425,1.67425068623991,0.340822984313856
"ZH","infection_norm_n1",2021-01-29,0.884716291934175,1.69069850079322,0.337632894597215
"ZH","infection_norm_n1",2021-01-30,0.879853282527143,1.69589904365132,0.329431810710955
"ZH","infection_norm_n1",2021-01-31,0.866133859699901,1.68856900168534,0.316071815058264
"ZH","infection_norm_n1",2021-02-01,0.849067407088987,1.67666964210862,0.300844157742856
"ZH","infection_norm_n1",2021-02-02,0.83280220768537,1.66685455567618,0.285909129014977
"ZH","infection_norm_n1",2021-02-03,0.81536083399719,1.65698154484067,0.269894169841946
"ZH","infection_norm_n1",2021-02-04,0.794219477852512,1.64361217895694,0.251409745191773
"ZH","infection_norm_n1",2021-02-05,0.774061071316578,1.63363420728799,0.233150886442541
"ZH","infection_norm_n1",2021-02-06,0.764409526104329,1.64159126490331,0.22002560455563
"ZH","infection_norm_n1",2021-02-07,0.770476863750102,1.67598259441824,0.214299765261381
"ZH","infection_norm_n1",2021-02-08,0.790900970269203,1.73478832555136,0.215060329126219
"ZH","infection_norm_n1",2021-02-09,0.819188498116893,1.80704253405877,0.219310343618826
"ZH","infection_norm_n1",2021-02-10,0.849115184533686,1.88134378442952,0.224557964280127
"ZH","infection_norm_n1",2021-02-11,0.878866004451819,1.95303712451159,0.230514244600079
"ZH","infection_norm_n1",2021-02-12,0.907667468961564,2.01978905423936,0.237162970470599
"ZH","infection_norm_n1",2021-02-13,0.934222290073651,2.07915571875482,0.244010826936503
