"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"ZH","infection_norm_n1",2021-10-23,1.21605124827776,1.49297286060652,0.939129635949011
"ZH","infection_norm_n1",2021-10-24,1.23558271477583,1.5369839893047,0.934181440246957
"ZH","infection_norm_n1",2021-10-25,1.28831940507059,1.59623760350347,0.980401206637719
"ZH","infection_norm_n1",2021-10-26,1.37627015684356,1.69112003078056,1.06142028290655
"ZH","infection_norm_n1",2021-10-27,1.49908704652926,1.83092490773274,1.16724918532578
"ZH","infection_norm_n1",2021-10-28,1.65295129136051,2.00668077160224,1.29922181111879
"ZH","infection_norm_n1",2021-10-29,1.81877125058183,2.20495511193512,1.43258738922854
"ZH","infection_norm_n1",2021-10-30,1.94681948312617,2.36297329196689,1.53066567428544
"ZH","infection_norm_n1",2021-10-31,1.99532494784462,2.40408593245249,1.58656396323675
"ZH","infection_norm_n1",2021-11-01,1.96788627520628,2.3313482286992,1.60442432171337
"ZH","infection_norm_n1",2021-11-02,1.90717936100469,2.2286037745678,1.58575494744157
"ZH","infection_norm_n1",2021-11-03,1.85083020119211,2.15646374991218,1.54519665247204
"ZH","infection_norm_n1",2021-11-04,1.80181540386573,2.10905745048911,1.49457335724235
"ZH","infection_norm_n1",2021-11-05,1.74336649776634,2.07129812967218,1.4154348658605
"ZH","infection_norm_n1",2021-11-06,1.6660606813032,2.0224161083078,1.3097052542986
"ZH","infection_norm_n1",2021-11-07,1.57965969482785,1.94117239556553,1.21814699409018
"ZH","infection_norm_n1",2021-11-08,1.49866879940962,1.83638052658556,1.16095707223369
"ZH","infection_norm_n1",2021-11-09,1.43054347391086,1.7392054133813,1.12188153444042
"ZH","infection_norm_n1",2021-11-10,1.37697426558946,1.66126192870448,1.09268660247444
"ZH","infection_norm_n1",2021-11-11,1.33833691291834,1.6006598404283,1.07601398540837
"ZH","infection_norm_n1",2021-11-12,1.31154340390878,1.56191614431239,1.06117066350517
"ZH","infection_norm_n1",2021-11-13,1.29167171848776,1.5438071645739,1.03953627240161
"ZH","infection_norm_n1",2021-11-14,1.27552530792729,1.53449382621393,1.01655678964065
"ZH","infection_norm_n1",2021-11-15,1.26279882533813,1.5269772719998,0.998620378676464
"ZH","infection_norm_n1",2021-11-16,1.25386627028414,1.52098227666692,0.986750263901355
"ZH","infection_norm_n1",2021-11-17,1.24846104707815,1.51679859358484,0.98012350057146
"ZH","infection_norm_n1",2021-11-18,1.24618805981896,1.51544506955203,0.976931050085884
"GE","infection_norm_n1",2021-10-01,1.14898232468185,1.84192846419862,0.617970546326411
"GE","infection_norm_n1",2021-10-02,1.14280204437678,1.82174022201555,0.620623978609656
"GE","infection_norm_n1",2021-10-03,1.14415820661334,1.81225784960236,0.628187692948384
"GE","infection_norm_n1",2021-10-04,1.153404246997,1.81343766251587,0.641234755637165
"GE","infection_norm_n1",2021-10-05,1.16898279893446,1.82271164132963,0.659002357886843
