"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2022-02-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",60.8,60.8,60.8,1
2022-02-18,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-20,"ARA Basel","2021/22","IAV_gc_per_day",276455840000,276455840000,276455840000,1
2022-02-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",4.64,4.64,4.64,1
2022-02-20,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-22,"ARA Basel","2021/22","IAV_gc_per_day",593798400000,593798400000,593798400000,1
2022-02-22,"ARA Basel","2021/22","IAV_gc_per_mL_WW",9.36,9.36,9.36,1
2022-02-22,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-22,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-24,"ARA Basel","2021/22","IAV_gc_per_day",1096221120000,1096221120000,1096221120000,1
2022-02-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",18.44,18.44,18.44,1
2022-02-24,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-26,"ARA Basel","2021/22","IAV_gc_per_day",663058560000,663058560000,663058560000,1
2022-02-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",9.84,9.84,9.84,1
2022-02-26,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-28,"ARA Basel","2021/22","IAV_gc_per_day",927070080000,927070080000,927070080000,1
2022-02-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",18.08,18.08,18.08,1
2022-02-28,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-28,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-02,"ARA Basel","2021/22","IAV_gc_per_day",1527792100000,1527792100000,1527792100000,1
2022-03-02,"ARA Basel","2021/22","IAV_gc_per_mL_WW",24.02,24.02,24.02,1
2022-03-02,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-02,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-06,"ARA Basel","2021/22","IAV_gc_per_day",1300619640000,1300619640000,1300619640000,1
2022-03-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",23.74,23.74,23.74,1
2022-03-06,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-08,"ARA Basel","2021/22","IAV_gc_per_day",2705368820000,2705368820000,2705368820000,1
2022-03-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",44.66,44.66,44.66,1
2022-03-08,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-08,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-10,"ARA Basel","2021/22","IAV_gc_per_day",3.474166e+12,3.474166e+12,3.474166e+12,1
2022-03-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",55.6,55.6,55.6,1
2022-03-10,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-13,"ARA Basel","2021/22","IAV_gc_per_day",5.324868e+12,5.324868e+12,5.324868e+12,1
2022-03-13,"ARA Basel","2021/22","IAV_gc_per_mL_WW",92,92,92,1
2022-03-13,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-13,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-15,"ARA Basel","2021/22","IAV_gc_per_day",1473266880000,1473266880000,1473266880000,1
2022-03-15,"ARA Basel","2021/22","IAV_gc_per_mL_WW",18.08,18.08,18.08,1
2022-03-15,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-15,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-19,"ARA Basel","2021/22","IAV_gc_per_day",2327495680000,2327495680000,2327495680000,1
2022-03-19,"ARA Basel","2021/22","IAV_gc_per_mL_WW",39.92,39.92,39.92,1
2022-03-19,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-19,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-23,"ARA Basel","2021/22","IAV_gc_per_day",3377246400000,3377246400000,3377246400000,1
2022-03-23,"ARA Basel","2021/22","IAV_gc_per_mL_WW",52.8,52.8,52.8,1
2022-03-23,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-23,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-03-27,"ARA Basel","2021/22","IAV_gc_per_day",1782037440000,1782037440000,1782037440000,1
2022-03-27,"ARA Basel","2021/22","IAV_gc_per_mL_WW",31.04,31.04,31.04,1
2022-03-27,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-03-27,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-04-05,"ARA Basel","2021/22","IAV_gc_per_day",2214746240000,2214746240000,2214746240000,1
2022-04-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",32.48,32.48,32.48,1
2022-04-05,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-04-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-04-10,"ARA Basel","2021/22","IAV_gc_per_day",1120504320000,1120504320000,1120504320000,1
2022-04-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",16.64,16.64,16.64,1
2022-04-10,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-04-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-04-12,"ARA Basel","2021/22","IAV_gc_per_day",6.063708e+12,6.063708e+12,6.063708e+12,1
2022-04-12,"ARA Basel","2021/22","IAV_gc_per_mL_WW",88.8,88.8,88.8,1
2022-04-12,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-04-12,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-04-17,"ARA Basel","2021/22","IAV_gc_per_day",803031200000,803031200000,803031200000,1
2022-04-17,"ARA Basel","2021/22","IAV_gc_per_mL_WW",15.2,15.2,15.2,1
2022-04-17,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-04-17,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-04-19,"ARA Basel","2021/22","IAV_gc_per_day",2078374400000,2078374400000,2078374400000,1
2022-04-19,"ARA Basel","2021/22","IAV_gc_per_mL_WW",32.72,32.72,32.72,1
2022-04-19,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-04-19,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-04-21,"ARA Basel","2021/22","IAV_gc_per_day",1266569920000,1266569920000,1266569920000,1
2022-04-21,"ARA Basel","2021/22","IAV_gc_per_mL_WW",19.36,19.36,19.36,1
2022-04-21,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-04-21,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-04-24,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-04-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-04-24,"ARA Basel","2021/22","IBV_gc_per_day",656158040000,656158040000,656158040000,1
2022-04-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",5.24,5.24,5.24,1
2022-04-28,"ARA Basel","2021/22","IAV_gc_per_day",272138400000,272138400000,272138400000,1
2022-04-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.16,5.16,5.16,1
