"","date","region_nr","measuring_period","pathogen","total_cnslt"
"285",2021-10-11,1,"2021/22","RSV",0
"286",2021-10-11,2,"2021/22","RSV",0
"287",2021-10-11,3,"2021/22","RSV",0
"288",2021-10-11,5,"2021/22","RSV",4
"289",2021-10-11,6,"2021/22","RSV",0
"290",2021-10-18,1,"2021/22","RSV",0
"291",2021-10-18,2,"2021/22","RSV",4.5
"292",2021-10-18,3,"2021/22","RSV",0
"293",2021-10-18,4,"2021/22","RSV",3
"294",2021-10-18,5,"2021/22","RSV",0
"295",2021-10-18,6,"2021/22","RSV",0.833333333333333
"296",2021-10-25,1,"2021/22","RSV",0
"297",2021-10-25,2,"2021/22","RSV",0
"298",2021-10-25,3,"2021/22","RSV",0
"299",2021-10-25,5,"2021/22","RSV",2.04545454545455
"300",2021-10-25,6,"2021/22","RSV",0.833333333333333
"301",2021-11-01,1,"2021/22","RSV",1.375
"302",2021-11-01,2,"2021/22","RSV",1.36363636363636
"303",2021-11-01,3,"2021/22","RSV",1.42857142857143
"304",2021-11-01,4,"2021/22","RSV",0
"305",2021-11-01,5,"2021/22","RSV",0
"306",2021-11-01,6,"2021/22","RSV",0
"307",2021-11-08,1,"2021/22","RSV",0
"308",2021-11-08,2,"2021/22","RSV",0
"309",2021-11-08,3,"2021/22","RSV",0
"310",2021-11-08,4,"2021/22","RSV",0
"311",2021-11-08,5,"2021/22","RSV",0
"312",2021-11-08,6,"2021/22","RSV",0.6
"313",2021-11-15,1,"2021/22","RSV",0.428571428571429
"314",2021-11-15,2,"2021/22","RSV",0.933333333333333
"315",2021-11-15,3,"2021/22","RSV",0.842105263157895
"316",2021-11-15,4,"2021/22","RSV",0
"317",2021-11-15,5,"2021/22","RSV",1.95652173913043
"318",2021-11-15,6,"2021/22","RSV",0
"319",2021-11-22,1,"2021/22","RSV",1.56521739130435
"320",2021-11-22,2,"2021/22","RSV",0
"321",2021-11-22,3,"2021/22","RSV",0.785714285714286
"322",2021-11-22,4,"2021/22","RSV",0
"323",2021-11-22,5,"2021/22","RSV",2.20689655172414
"324",2021-11-22,6,"2021/22","RSV",2.72727272727273
"325",2021-11-29,1,"2021/22","RSV",2.0625
"326",2021-11-29,2,"2021/22","RSV",2.11111111111111
"327",2021-11-29,3,"2021/22","RSV",0
"328",2021-11-29,4,"2021/22","RSV",5.83333333333333
"329",2021-11-29,5,"2021/22","RSV",0
"330",2021-11-29,6,"2021/22","RSV",0
"331",2021-12-06,1,"2021/22","RSV",1.29032258064516
"332",2021-12-06,2,"2021/22","RSV",0.909090909090909
"333",2021-12-06,3,"2021/22","RSV",0
"334",2021-12-06,4,"2021/22","RSV",0
"335",2021-12-06,5,"2021/22","RSV",4.8695652173913
"336",2021-12-06,6,"2021/22","RSV",0
"337",2021-12-13,1,"2021/22","RSV",1.11111111111111
"338",2021-12-13,2,"2021/22","RSV",2.47058823529412
"339",2021-12-13,3,"2021/22","RSV",1.16666666666667
"340",2021-12-13,4,"2021/22","RSV",0
"341",2021-12-13,5,"2021/22","RSV",0
"342",2021-12-13,6,"2021/22","RSV",0
"343",2021-12-20,1,"2021/22","RSV",2.64
"344",2021-12-20,2,"2021/22","RSV",1.2
"345",2021-12-20,3,"2021/22","RSV",0
"346",2021-12-20,4,"2021/22","RSV",17.5
"347",2021-12-20,5,"2021/22","RSV",0
"348",2021-12-20,6,"2021/22","RSV",0.25
"349",2021-12-27,1,"2021/22","RSV",1.2
"350",2021-12-27,2,"2021/22","RSV",1.6
"351",2021-12-27,3,"2021/22","RSV",0
"352",2021-12-27,5,"2021/22","RSV",1.38461538461538
"353",2021-12-27,6,"2021/22","RSV",6
"354",2022-01-03,1,"2021/22","RSV",0
"355",2022-01-03,1,"2021/22","RSV",1.56521739130435
"356",2022-01-03,2,"2021/22","RSV",3.85714285714286
"357",2022-01-03,3,"2021/22","RSV",0
"358",2022-01-03,4,"2021/22","RSV",0
"359",2022-01-03,5,"2021/22","RSV",0
"360",2022-01-03,5,"2021/22","RSV",0
"361",2022-01-03,6,"2021/22","RSV",0
"362",2022-01-10,1,"2021/22","RSV",0.769230769230769
"363",2022-01-10,2,"2021/22","RSV",1.57894736842105
"364",2022-01-10,3,"2021/22","RSV",0
"365",2022-01-10,4,"2021/22","RSV",0
"366",2022-01-10,5,"2021/22","RSV",0
"367",2022-01-10,6,"2021/22","RSV",0
"368",2022-01-17,1,"2021/22","RSV",2.55882352941176
"369",2022-01-17,2,"2021/22","RSV",0
"370",2022-01-17,3,"2021/22","RSV",0
"371",2022-01-17,4,"2021/22","RSV",0
"372",2022-01-17,5,"2021/22","RSV",8.10526315789474
"373",2022-01-17,6,"2021/22","RSV",0
"374",2022-01-24,1,"2021/22","RSV",0
"375",2022-01-24,2,"2021/22","RSV",2
"376",2022-01-24,3,"2021/22","RSV",0
"377",2022-01-24,4,"2021/22","RSV",0
"378",2022-01-24,5,"2021/22","RSV",4.22727272727273
"379",2022-01-24,6,"2021/22","RSV",0
"380",2022-01-31,1,"2021/22","RSV",1.72413793103448
"381",2022-01-31,2,"2021/22","RSV",3.11111111111111
"382",2022-01-31,3,"2021/22","RSV",0
"383",2022-01-31,4,"2021/22","RSV",0
"384",2022-01-31,5,"2021/22","RSV",0
"385",2022-01-31,6,"2021/22","RSV",0
"386",2022-02-07,1,"2021/22","RSV",2
"387",2022-02-07,2,"2021/22","RSV",0
"388",2022-02-07,3,"2021/22","RSV",0
"389",2022-02-07,4,"2021/22","RSV",0
"390",2022-02-07,5,"2021/22","RSV",0
"391",2022-02-07,6,"2021/22","RSV",0
"392",2022-02-14,1,"2021/22","RSV",1.09090909090909
"393",2022-02-14,2,"2021/22","RSV",4.36363636363636
"394",2022-02-14,3,"2021/22","RSV",0
"395",2022-02-14,4,"2021/22","RSV",5.75
"396",2022-02-14,5,"2021/22","RSV",0
"397",2022-02-14,6,"2021/22","RSV",0
"398",2022-02-21,1,"2021/22","RSV",0
"399",2022-02-21,2,"2021/22","RSV",2.14285714285714
"400",2022-02-21,3,"2021/22","RSV",0
"401",2022-02-21,4,"2021/22","RSV",0
"402",2022-02-21,5,"2021/22","RSV",0
"403",2022-02-21,6,"2021/22","RSV",0
"404",2022-02-28,1,"2021/22","RSV",1.06666666666667
"405",2022-02-28,2,"2021/22","RSV",0
"406",2022-02-28,3,"2021/22","RSV",0
"407",2022-02-28,4,"2021/22","RSV",0
"408",2022-02-28,5,"2021/22","RSV",2.28571428571429
"409",2022-02-28,6,"2021/22","RSV",2.66666666666667
"410",2022-03-07,1,"2021/22","RSV",1.06060606060606
"411",2022-03-07,2,"2021/22","RSV",1.42857142857143
"412",2022-03-07,3,"2021/22","RSV",0
"413",2022-03-07,4,"2021/22","RSV",0
