"influenza_type","date","wwtp","total_cases","measuring_period"
"A",2022-04-21,"CHUR",1,"2021/22"
"A",2022-04-21,"LAUPEN(SENSETAL)",1.99860554753,"2021/22"
"A",2022-04-21,"VERNIER/AIRE",18.55832461303,"2021/22"
"A",2022-04-21,"ZUERICH(WERDHOELZLI)",5.914162840762,"2021/22"
"A",2022-04-28,"BASEL",8.992148470486,"2021/22"
"A",2022-04-28,"BIOGGIO(LUGANO)",0.999999917032,"2021/22"
"A",2022-04-28,"CHUR",0.999944788717,"2021/22"
"A",2022-04-28,"LAUPEN(SENSETAL)",0.3130229444403,"2021/22"
"A",2022-04-28,"VERNIER/AIRE",7.999999303283,"2021/22"
"A",2022-04-28,"ZUERICH(WERDHOELZLI)",4.999999986636,"2021/22"
"A",2022-10-06,"BASEL",1.00000000209,"2022/23"
"A",2022-10-06,"BIOGGIO(LUGANO)",0.0173304774227,"2022/23"
"A",2022-10-06,"ZUERICH(WERDHOELZLI)",0.999224514992,"2022/23"
"A",2022-10-13,"BASEL",1.834323945291,"2022/23"
"A",2022-10-13,"VERNIER/AIRE",0.278540392243,"2022/23"
"A",2022-10-13,"ZUERICH(WERDHOELZLI)",1.9529676125958,"2022/23"
"A",2022-10-20,"BASEL",1.997698233184,"2022/23"
"A",2022-10-20,"BIOGGIO(LUGANO)",1,"2022/23"
"A",2022-10-27,"BASEL",3.9904559927,"2022/23"
"A",2022-10-27,"LAUPEN(SENSETAL)",1,"2022/23"
"A",2022-10-27,"VERNIER/AIRE",2.316899302238,"2022/23"
"A",2022-10-27,"ZUERICH(WERDHOELZLI)",1.978838145196,"2022/23"
"A",2022-11-03,"BASEL",4.9120971427365,"2022/23"
"A",2022-11-03,"BIOGGIO(LUGANO)",2.998036829792,"2022/23"
"A",2022-11-03,"LAUPEN(SENSETAL)",0.223817113897,"2022/23"
"A",2022-11-03,"VERNIER/AIRE",2.801365057966,"2022/23"
"A",2022-11-03,"ZUERICH(WERDHOELZLI)",2.971975475579,"2022/23"
"A",2022-11-10,"BASEL",7.996944699703,"2022/23"
"A",2022-11-10,"BIOGGIO(LUGANO)",1.998036842644,"2022/23"
"A",2022-11-10,"LAUPEN(SENSETAL)",1.513436469732,"2022/23"
"A",2022-11-10,"THAL/ALTENRHEIN",0.99718230486,"2022/23"
"A",2022-11-10,"VERNIER/AIRE",2.999885327311,"2022/23"
"A",2022-11-10,"ZUERICH(WERDHOELZLI)",3,"2022/23"
"A",2022-11-17,"BASEL",8.9062460030845,"2022/23"
"A",2022-11-17,"BIOGGIO(LUGANO)",4.991817714559,"2022/23"
"A",2022-11-17,"VERNIER/AIRE",3.838505884155,"2022/23"
"A",2022-11-17,"ZUERICH(WERDHOELZLI)",0.999999993318,"2022/23"
"A",2022-11-24,"BASEL",13.9075119164535,"2022/23"
"A",2022-11-24,"BIOGGIO(LUGANO)",5.9694195460427,"2022/23"
"A",2022-11-24,"LAUPEN(SENSETAL)",0.086279437338,"2022/23"
"A",2022-11-24,"THAL/ALTENRHEIN",0.433172448519,"2022/23"
"A",2022-11-24,"VERNIER/AIRE",4.99984742813967,"2022/23"
