"sample_date","wwtp","measuring_period","measurement_type","mean"
2022-01-17,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-01-17,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-01-17,"STEP Aire","2021/22","IAV_gc_per_day",846522692476.193
2022-01-17,"STEP Aire","2021/22","IAV_gc_per_mL_WW",5.67157783203597
2022-01-17,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-01-17,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-01-21,"ARA Werdhölzli","2021/22","IAV_gc_per_day",682148028731.711
2022-01-21,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.60689823619555
2022-01-21,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-01-21,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-01-21,"STEP Aire","2021/22","IAV_gc_per_day",869304642711.831
2022-01-21,"STEP Aire","2021/22","IAV_gc_per_mL_WW",6.18233738976204
2022-01-21,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-01-21,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-01-24,"STEP Aire","2021/22","IAV_gc_per_day",1192792518573.3
2022-01-24,"STEP Aire","2021/22","IAV_gc_per_mL_WW",8.47117678631095
2022-01-28,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1337025481176.03
2022-01-28,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",8.23311831064824
2022-01-28,"ARA Werdhölzli","2021/22","IBV_gc_per_day",168677149092.171
2022-01-28,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.03867797908921
2022-01-28,"STEP Aire","2021/22","IAV_gc_per_day",838226057439.778
2022-01-28,"STEP Aire","2021/22","IAV_gc_per_mL_WW",6.19115050069634
2022-01-31,"STEP Aire","2021/22","IAV_gc_per_day",1712907346287.53
2022-01-31,"STEP Aire","2021/22","IAV_gc_per_mL_WW",11.7953390829542
2022-01-31,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-01-31,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-02-04,"ARA Werdhölzli","2021/22","IAV_gc_per_day",613977716330.974
2022-02-04,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.06365554524438
2022-02-04,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-02-04,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-02-04,"STEP Aire","2021/22","IAV_gc_per_day",1100363243068.79
2022-02-04,"STEP Aire","2021/22","IAV_gc_per_mL_WW",8.33513799999083
2022-02-06,"ARA Werdhölzli","2021/22","IAV_gc_per_day",780216627742.941
2022-02-06,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",5.49347744598131
2022-02-06,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-02-06,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-02-07,"ARA Werdhölzli","2021/22","IAV_gc_per_day",930725665052.176
2022-02-07,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",3.09780315680362
2022-02-07,"ARA Werdhölzli","2021/22","IBV_gc_per_day",309586584211.996
2022-02-07,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.03041995497374
2022-02-07,"STEP Aire","2021/22","IAV_gc_per_day",0
2022-02-07,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0
2022-02-11,"STEP Aire","2021/22","IAV_gc_per_day",1636107148513.26
2022-02-11,"STEP Aire","2021/22","IAV_gc_per_mL_WW",10.9839021752426
2022-02-11,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-02-11,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-02-14,"ARA Werdhölzli","2021/22","IAV_gc_per_day",0
2022-02-14,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",0
2022-02-14,"ARA Werdhölzli","2021/22","IBV_gc_per_day",500026710144.841
2022-02-14,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",3.16090491965308
2022-02-14,"STEP Aire","2021/22","IAV_gc_per_day",1251493783761.17
2022-02-14,"STEP Aire","2021/22","IAV_gc_per_mL_WW",7.19869878493624
2022-02-18,"ARA Werdhölzli","2021/22","IAV_gc_per_day",874764975500.88
2022-02-18,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",5.13182041136508
2022-02-18,"ARA Werdhölzli","2021/22","IBV_gc_per_day",176064924831.018
2022-02-18,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.03288723288896
2022-02-18,"STEP Aire","2021/22","IAV_gc_per_day",1883728982174.75
2022-02-18,"STEP Aire","2021/22","IAV_gc_per_mL_WW",13.2824404155573
2022-02-18,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-02-18,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-02-21,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2182128641471.71
2022-02-21,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",8.45409465343628
2022-02-21,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-02-21,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-02-22,"STEP Aire","2021/22","IAV_gc_per_day",3597894071164.5
2022-02-22,"STEP Aire","2021/22","IAV_gc_per_mL_WW",23.536260981281
2022-02-25,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2723931535690.94
2022-02-25,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",15.7001650500639
2022-02-25,"ARA Werdhölzli","2021/22","IBV_gc_per_day",179942373903.558
2022-02-25,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.0371497714863
2022-02-25,"STEP Aire","2021/22","IAV_gc_per_day",1853658757759.44
2022-02-25,"STEP Aire","2021/22","IAV_gc_per_mL_WW",12.9457196376727
2022-02-25,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-02-25,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-02-28,"STEP Aire","2021/22","IAV_gc_per_day",3881949181215.02
2022-02-28,"STEP Aire","2021/22","IAV_gc_per_mL_WW",26.0692717110116
2022-03-04,"STEP Aire","2021/22","IAV_gc_per_day",4748263168682.22
2022-03-04,"STEP Aire","2021/22","IAV_gc_per_mL_WW",32.3770970555536
2022-03-04,"STEP Aire","2021/22","IBV_gc_per_day",0
2022-03-04,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2022-03-07,"ARA Werdhölzli","2021/22","IAV_gc_per_day",5021875250206.26
2022-03-07,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",34.6994316821991
2022-03-07,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-03-07,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-03-11,"STEP Aire","2021/22","IAV_gc_per_day",7181464988828.52
2022-03-11,"STEP Aire","2021/22","IAV_gc_per_mL_WW",49.9795737210381
2022-03-11,"STEP Aire","2021/22","IBV_gc_per_day",168666911866.303
2022-03-11,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.17384132193575
2022-03-14,"ARA Werdhölzli","2021/22","IAV_gc_per_day",7123305599511.62
2022-03-14,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",50.0896948865532
2022-03-14,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-03-14,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2022-03-18,"ARA Werdhölzli","2021/22","IAV_gc_per_day",3613385724558.55
2022-03-18,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",23.8926810410262
2022-03-18,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2022-03-18,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
