"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
2021-11-07,0,0,0,8.43731670086807e-06,8.43731670086807e-06,8.43731670086807e-06,0.000167258828672221,0.000167258828672221,0.000167258828672221,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-08,0,0,0,0,0,0,0.000474345771741484,0.000474345771741484,0.000474345771741484,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-09,0,0,0,5.79523055758947e-05,5.79523055758947e-05,5.79523055758947e-05,0.000945127301262209,0.000945127301262209,0.000945127301262209,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-10,0,0,0,0.000238981433856324,0.000238981433856324,0.000238981433856324,0.00256314522773086,0.00256314522773086,0.00256314522773086,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-11,0,0,0,0.000553845702170405,0.000553845702170405,0.000553845702170405,0.00606395002965568,0.00606395002965568,0.00606395002965568,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-12,0,0,0,0.00101330342784726,0.00101330342784726,0.00101330342784726,0.0106467817831637,0.0106467817831637,0.0106467817831637,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-13,0,0,0,0.00259363255073904,0.00259363255073904,0.00259363255073904,0.016492073281996,0.016492073281996,0.016492073281996,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-14,0,0,0,0.00571973159357977,0.00571973159357977,0.00571973159357977,0.0246067227270335,0.0246067227270335,0.0246067227270335,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-15,0,0,0,0.00957528974802137,0.00957528974802137,0.00957528974802137,0.0349132928805494,0.0349132928805494,0.0349132928805494,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-16,0,0,0,0.0146238161267201,0.0146238161267201,0.0146238161267201,0.0470215140149668,0.0470215140149668,0.0470215140149668,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-17,0,0,0,0.0217331179421088,0.0217331179421088,0.0217331179421088,0.0576270677364009,0.0576270677364009,0.0576270677364009,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-18,0,0,0,0.0306933315355037,0.0306933315355037,0.0306933315355037,0.0657076378491297,0.0657076378491297,0.0657076378491297,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-19,0.0203731772773469,0.0203731772773469,0.0203731772773469,0.0412945932482215,0.0412945932482215,0.0412945932482215,0.0743693904644001,0.0743693904644001,0.0743693904644001,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-20,0.0407463545546939,0.0407463545546939,0.0407463545546939,0.050944894896722,0.050944894896722,0.050944894896722,0.0818965915978308,0.0818965915978308,0.0818965915978308,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-21,0.0611195318320408,0.0611195318320408,0.0611195318320408,0.0588913305187379,0.0588913305187379,0.0588913305187379,0.0846681953691902,0.0846681953691902,0.0846681953691902,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-22,0.0814927091093878,0.0814927091093878,0.0814927091093878,0.0676826897874953,0.0676826897874953,0.0676826897874953,0.0831552637352522,0.0831552637352522,0.0831552637352522,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-23,0.101865886386735,0.101865886386735,0.101865886386735,0.075595758940427,0.075595758940427,0.075595758940427,0.078327516827413,0.078327516827413,0.078327516827413,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-24,0.122239063664082,0.122239063664082,0.122239063664082,0.079525591029569,0.079525591029569,0.079525591029569,0.0725463974135921,0.0725463974135921,0.0725463974135921,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-25,0.142612240941429,0.142612240941429,0.142612240941429,0.0799483759500522,0.0799483759500522,0.0799483759500522,0.0656767927029466,0.0656767927029466,0.0656767927029466,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-26,0.122239063664082,0.122239063664082,0.122239063664082,0.0773403035970072,0.0773403035970072,0.0773403035970072,0.0551432569795746,0.0551432569795746,0.0551432569795746,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-27,0.101865886386735,0.101865886386735,0.101865886386735,0.0736467018061121,0.0736467018061121,0.0736467018061121,0.0430298887794191,0.0430298887794191,0.0430298887794191,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-28,0.0814927091093878,0.0814927091093878,0.0814927091093878,0.0687303269419301,0.0687303269419301,0.0687303269419301,0.0327638842919587,0.0327638842919587,0.0327638842919587,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-29,0.0611195318320408,0.0611195318320408,0.0611195318320408,0.0599435116929195,0.0599435116929195,0.0599435116929195,0.0240593280010087,0.0240593280010087,0.0240593280010087,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-11-30,0.0407463545546939,0.0407463545546939,0.0407463545546939,0.0491067814388358,0.0491067814388358,0.0491067814388358,0.0164911636749329,0.0164911636749329,0.0164911636749329,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-01,0.0203731772773469,0.0203731772773469,0.0203731772773469,0.0395618917114437,0.0395618917114437,0.0395618917114437,0.0100809180950004,0.0100809180950004,0.0100809180950004,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-02,0,0,0,0.0309430204272157,0.0309430204272157,0.0309430204272157,0.00545312276970829,0.00545312276970829,0.00545312276970829,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-03,0,0,0,0.0228843455026244,0.0228843455026244,0.0228843455026244,0.00290835122508927,0.00290835122508927,0.00290835122508927,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-04,0,0,0,0.0153661240575255,0.0153661240575255,0.0153661240575255,0.00172804819200628,0.00172804819200628,0.00172804819200628,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-05,0,0,0,0.00922196715865816,0.00922196715865816,0.00922196715865816,0.00108353646648918,0.00108353646648918,0.00108353646648918,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-06,0,0,0,0.00536608364282014,0.00536608364282014,0.00536608364282014,0.000941800949976558,0.000941800949976558,0.000941800949976558,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
2021-12-07,0,0,0,0.00329933403190294,0.00329933403190294,0.00329933403190294,0.0015002042300144,0.0015002042300144,0.0015002042300144,NA,NA,NA,NA,NA,NA,NA,"BASEL","A"
