"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","pathogen","measuring_period"
2027-04-23,0.000775824928666687,0,0.470967142359015,0.000900549952123972,0,0.233347716404191,0.000451439559110337,0,0.231201374501733,0.980059915661448,6.22964059391305e-38,11.2219559505325,11.2219559505325,6.22964059391305e-38,0.247904964288168,1.71221486703473,4,"RSV","2022/23"
2027-04-30,0,0,0.387972251683259,0.000802563109708648,0,0.224641865859095,0.000310597033951668,0,0.241255946031842,0.977337412589038,2.56806281386897e-38,11.1915052986319,11.1915052986319,2.56806281386897e-38,0.330588082714574,1.6240867424635,4,"RSV","2022/23"
2027-05-07,0,0,0.387972251683259,0.000690964907544399,0,0.220716668663096,0.000224310512680056,0,0.243456114540082,0.976534408633919,1.1299839859261e-38,11.1824596628591,11.1824596628591,1.1299839859261e-38,0.418248539705134,1.5348202775627,4,"RSV","2022/23"
2027-05-14,0,0,0.277180764869935,0.000539599743190262,0,0.222546547154685,0.000174900633865094,0,0.240956707248099,0.97874209664232,6.18555175540713e-39,11.2075345030277,11.2075345030277,6.18555175540713e-39,0.380755534390259,1.57672865889438,4,"RSV","2022/23"
2027-05-21,0,0,0.537123260663703,0.000390142242913928,0,0.228499572094716,0.000144705391024285,0,0.241223160844813,0.983155276059873,4.30555484279333e-39,11.257814694934,11.257814694934,4.30555484279333e-39,0.259394586181165,1.70691596593858,4,"RSV","2022/23"
2027-05-28,0,0,0.387972251683259,0.000291542181251179,0,0.231468490525373,0.0001231152652013,0,0.242272291307929,0.987717703584753,3.4531744187189e-39,11.3098521406135,11.3098521406135,3.4531744187189e-39,0.26302469407031,1.7124107130992,4,"RSV","2022/23"
2027-06-04,0,0,0.387972251683259,0.00022855667816319,0,0.23199863838419,0.000107347250223969,0,0.239235406881948,0.991339987782854,2.98011376142803e-39,11.3511702656719,11.3511702656719,2.98011376142803e-39,0.337030374649629,1.64564960091608,4,"RSV","2022/23"
2027-06-11,0,0,0.470191317430348,0.000185942853611134,0,0.234301857551426,9.38343621500071e-05,0,0.23639268306375,0.99385133940252,2.66565729783129e-39,11.3797949236745,11.3797949236745,2.66565729783129e-39,0.40914613852605,1.57855654027899,4,"RSV","2022/23"
2027-06-18,0,0,0.387972251683259,0.000154230562107615,0,0.236588466777579,7.91868539899237e-05,0,0.237769162829773,0.995428375801872,2.41893185627585e-39,11.3977310402725,11.3977310402725,2.41893185627585e-39,0.476551776166215,1.51430497543753,4,"RSV","2022/23"
2027-06-25,0.000148319471656867,0,0.388120571154916,0.000131208871670918,0,0.234934046854914,6.64037327855415e-05,0,0.241264364177443,0.996357301099745,2.20794204503187e-39,11.4082476053673,11.4082476053673,2.20794204503187e-39,0.54038759365009,1.4523270085494,4,"RSV","2022/23"
