"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type"
"36",2021-09-12,0,0,1.95154606166559,0,0,3.5478060792577,0,0,12.1377698305425,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"37",2021-09-13,0,0,1.60552087056025,0,0,3.80700006800443,0,0,20.532954068001,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"38",2021-09-14,0,0,1.78187634559244,0,0,4.14067347986044,0,0,18.3459963398157,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"39",2021-09-15,0,0,5.36378361359174,0,0,4.73787037301373,0,0,9.2609982918171,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"40",2021-09-16,0,0,16.6261312653424,0,0,5.18227214744638,0,0,7.4034585267565,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"41",2021-09-17,0,0,15.7396462259401,0,0,5.63958314828033,0,0,7.7842977050535,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"42",2021-09-18,0,0,5.87869185319872,0,0,6.13752002687236,0,0,10.1700027078735,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"43",2021-09-19,0,0,4.44848296893334,0,0,6.22609606436037,0,0,13.3642289879849,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"44",2021-09-20,0,0,22.6622584322214,0,0,6.25374767255133,0,0,17.8426716070252,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"45",2021-09-21,0,0,39.3319327954071,0,0,6.50026276222289,0,0,19.2781853219252,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"46",2021-09-22,0,0,2.0609599452742,0,0,6.72885202489545,0,0,13.9242497086092,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"47",2021-09-23,0,0,14.5587093625137,0,0,6.9982092957435,0,0,8.43630064175293,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"48",2021-09-24,0,0,12.1451943971742,0,0,7.24852400796443,0,0,7.61836207066883,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"49",2021-09-25,0,0,5.68272304197938,0,0,7.35668467145052,0,0,7.31887772791265,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
"50",2021-09-26,0,0,4.44478052720248,0,0,7.28357601638955,0,0,10.3068196925437,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV"
