"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"FR","infection_norm_n1",2021-05-08,0.70316277934026,0.972394637670476,0.477085393853731
"FR","infection_norm_n1",2021-05-09,0.712923546959213,0.994750925700175,0.47751999443567
"FR","infection_norm_n1",2021-05-10,0.727877127480387,1.02353559807495,0.482060185104563
"FR","infection_norm_n1",2021-05-11,0.747212874513348,1.05777937200482,0.49003216467477
"FR","infection_norm_n1",2021-05-12,0.764530611074321,1.08968495674431,0.496367733697415
"FR","infection_norm_n1",2021-05-13,0.768034911477547,1.10481212080065,0.49182649858167
"FR","infection_norm_n1",2021-05-14,0.755321237007702,1.09993355747947,0.474785490618924
"FR","infection_norm_n1",2021-05-15,0.732601129615291,1.08257259392843,0.450245747701361
"FR","infection_norm_n1",2021-05-16,0.707782570731389,1.06282181493083,0.424169578633538
"FR","infection_norm_n1",2021-05-17,0.683688508161146,1.04475879784266,0.398396580290212
"FR","infection_norm_n1",2021-05-18,0.667050613374725,1.03722605438988,0.377766482893155
"FR","infection_norm_n1",2021-05-19,0.659883003659879,1.04319537493877,0.363485840362493
"FR","infection_norm_n1",2021-05-20,0.656379581767792,1.05553993193391,0.351120870469444
"FR","infection_norm_n1",2021-05-21,0.651930467357624,1.06818933808019,0.337472086126676
"FR","infection_norm_n1",2021-05-22,0.651331037659267,1.08706003559297,0.326162116925647
"FR","infection_norm_n1",2021-05-23,0.657195202508884,1.11564602809751,0.318949276812902
"FR","infection_norm_n1",2021-05-24,0.666772033735165,1.1504873779185,0.313809514880526
"FR","infection_norm_n1",2021-05-25,0.682118883075423,1.19419749728726,0.312167674214433
"FR","infection_norm_n1",2021-05-26,0.704132078399391,1.24777711741503,0.314661010397241
"FR","infection_norm_n1",2021-05-27,0.730051470239048,1.30718039733177,0.319572075731614
"FR","infection_norm_n1",2021-05-28,0.761097443677748,1.37347101666375,0.327938111491567
"FR","infection_norm_n1",2021-05-29,0.802001269242631,1.4524136676358,0.343082050367598
"FR","infection_norm_n1",2021-05-30,0.84481264623274,1.53248747407563,0.360171027143173
"FR","infection_norm_n1",2021-05-31,0.87822461030988,1.59729570059551,0.372399901804056
"FR","infection_norm_n1",2021-06-01,0.894543526041574,1.63550539265689,0.375251294569381
"FR","infection_norm_n1",2021-06-02,0.883800099308589,1.63346451400624,0.362457989763981
"FR","infection_norm_n1",2021-06-03,0.847792645383046,1.59434643735287,0.335074129585042
"FR","infection_norm_n1",2021-06-04,0.808264988423597,1.54977991538381,0.30617868971112
"FR","infection_norm_n1",2021-06-05,0.786151156294937,1.5314579825408,0.287387664387294
"FR","infection_norm_n1",2021-06-06,0.786699766356993,1.54876374550617,0.280727517553781
"FR","infection_norm_n1",2021-06-07,0.809561837697296,1.6014141979653,0.285700548071329
"FR","infection_norm_n1",2021-06-08,0.849698571434711,1.68076743210067,0.299882631436477
"FR","infection_norm_n1",2021-06-09,0.890045195335382,1.76005796597772,0.314337169649549
"FR","infection_norm_n1",2021-06-10,0.915182577809803,1.81477641959375,0.321140082727348
"FR","infection_norm_n1",2021-06-11,0.924622736391261,1.84284740285009,0.320606911659837
"FR","infection_norm_n1",2021-06-12,0.928685547803614,1.85957818039126,0.318496707475961
"FR","infection_norm_n1",2021-06-13,0.936990625240047,1.88042609462609,0.319636541991547
"FR","infection_norm_n1",2021-06-14,0.958366967464958,1.91927093399774,0.32857081937582
"FR","infection_norm_n1",2021-06-15,0.995037211164635,1.97922879317357,0.346646763086552
"FR","infection_norm_n1",2021-06-16,1.0411482755861,2.05056823658311,0.37115906018838
"FR","infection_norm_n1",2021-06-17,1.08535972305466,2.11522008753434,0.396387624084946
"FR","infection_norm_n1",2021-06-18,1.1183126120892,2.15854549956211,0.417403835106537
"FR","infection_norm_n1",2021-06-19,1.13752319889848,2.17701200934274,0.432702546210207
"FR","infection_norm_n1",2021-06-20,1.15002093687287,2.18170822151034,0.445977139674389
"FR","infection_norm_n1",2021-06-21,1.16116743820574,2.1818139335763,0.459773616961097
"FR","infection_norm_n1",2021-06-22,1.17087081264285,2.17844169494836,0.473504681218497
"FR","infection_norm_n1",2021-06-23,1.17518220945595,2.16672701062653,0.484425460001777
"FR","infection_norm_n1",2021-06-24,1.17018732169028,2.14166969029882,0.48983621855452
"FR","infection_norm_n1",2021-06-25,1.15425216669589,2.10163111048768,0.488343856949704
"FR","infection_norm_n1",2021-06-26,1.13021346016845,2.05135087536158,0.481295005284867
"FR","infection_norm_n1",2021-06-27,1.10464784585841,2.00070633619553,0.472450675423074
"FR","infection_norm_n1",2021-06-28,1.08397026424223,1.95909346034292,0.465617787092854
"FR","infection_norm_n1",2021-06-29,1.07149753879192,1.93119071506314,0.46285994575701
"FR","infection_norm_n1",2021-06-30,1.0659593919663,1.91491386238885,0.463535645868353
"FR","infection_norm_n1",2021-07-01,1.06102570012201,1.90101198016089,0.463857568934194
"FR","infection_norm_n1",2021-07-02,1.05303599547398,1.88386668514896,0.461755133958306
"FR","infection_norm_n1",2021-07-03,1.04135987381815,1.86232448720566,0.456956827581251
"FR","infection_norm_n1",2021-07-04,1.0255685513127,1.83591635377009,0.449126388111364
"FR","infection_norm_n1",2021-07-05,1.00538978820713,1.80456844519384,0.437948208077996
"FR","infection_norm_n1",2021-07-06,0.98305841355389,1.77161747081722,0.42474245342727
"FR","infection_norm_n1",2021-07-07,0.961096321883851,1.74079362472275,0.411014274414694
"FR","infection_norm_n1",2021-07-08,0.946689410405189,1.72208752712046,0.401302420074578
"FR","infection_norm_n1",2021-07-09,0.949685829794208,1.72897663449452,0.401884195596088
"FR","infection_norm_n1",2021-07-10,0.972284995280912,1.76404704066109,0.414360238164418
"FR","infection_norm_n1",2021-07-11,1.00475272770331,1.81282073629646,0.433092424920828
"FR","infection_norm_n1",2021-07-12,1.03952108360525,1.86324610930682,0.454081746045096
"FR","infection_norm_n1",2021-07-13,1.0803864883034,1.91891361897998,0.480615708433012
"FR","infection_norm_n1",2021-07-14,1.1346287508417,1.98865080953342,0.51811929610293
"FR","infection_norm_n1",2021-07-15,1.20611629662551,2.07663674336164,0.569973997854012
"FR","infection_norm_n1",2021-07-16,1.3059023082131,2.19566593487351,0.645171875454535
